position,status,name,model,operator,launch_place,launch_data
39 E,active,"HellasSat 4 (HS 4, SaudiGeoSat 1)",A2100A,Hellas-Sat (Arabsat subsidiary),6495,5-Feb-2019
39 E,active,"HellasSat 3 (HS 3, Inmarsat-S EAN, Europasat)",Spacebus-4000C3,Hellas-Sat (Arabsat subsidiary),5780,28-Jul-2017
40 E,active,Express AM7 (Ekspress-AM7),Eurostar-3000,Russian Satellite Communications Company,5720,19-Mar-2015
40 E,retired,Express AM1 (Ekspress AM1),MSS-2500-GSO,Russian Satellite Communications Company,2600,29-Oct-2004
42 E,retired,"Turksat 2A (Eurasiasat 1, Türksat 2A)",Spacebus-3000B3,Turksat,3535,10-Jan-2001
42 E,active,Turksat 3A (Türksat 3A),Spacebus-4000B2,Turksat,3070,12-Jun-2008
42 E,failed,Nigcomsat 1,DFH-4 Bus,NASRDA,5150,13-May-2007
42 E,active,Turksat 5B,Eurostar-3000EOR,Turksat,4500,19-Dec-2021
42 E,active,Nigcomsat 1R,DFH-4 Bus,NASRDA,5150,19-Dec-2011
42 E,active,Turksat 4A,DS2000,Turksat,4910,15-Feb-2014
42 E,active,Turksat 6A,TAI,Turksat,4300,8-Jul-2024
44 E,active,Thuraya 2,BSS-702,Thuraya Telecommunications Co.,5250,10-Jun-2003
44 E,retired,Astra 1F,HS-601,SES S.A.,3010,18-Apr-1996
44 E,testing,"Thuraya 4 (Thuraya-4-NGS, Thuraya NGS)",Eurostar-Neo,Thuraya Telecommunications Co.,5000,4-Jan-2025
45 E,active,Azerspace 2 (Intelsat 38),LS-1300,AzerCosmos OJS Co,3500,25-Sep-2018
45 E,retired,"ChinaSat 6A (Zhongxing-6A, ZX-6A, Sinosat 6, Xinnuo 6)",DFH-4 Bus,China Satellite Communications Co. Ltd.(China Satcom),5100,4-Sep-2010
46 E,active,Azerspace (Africasat 1A),GEOStar-2,AzerCosmos OJS Co,3275,7-Feb-2013
46 E,deorbited,"Africasat 1 (Measat 1, Afrisat 1)",HS-376,MEASAT Satellite Systems Sdn. Bhd.,1450,13-Jan-1996
47 E,retired,"Intelsat 709 (IS-709, Intelsat 7-F9)",LS-1300,Intelsat,4180,15-Jun-1996
47 E,retired,"Intelsat 601 (IS-601, INTELSAT VI F-1)",HS-389,Intelsat,4330,29-Oct-1991
48 E,retired,GSAT 12,I-1K (I-1000),NewSpace India Ltd (NSIL),1410,15-Jul-2011
